S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
863,23004,2022-06-25,32 FT MXL,VG_KA-YN-Harid-Roorkee,BHAGWANPUR,FARRUKHNAGAR,17673.0,206,2022-07-22 00:00:00,VISHAL LOGISTICS,16000.0
864,25471,2022-06-25,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,188,2022-07-18 00:00:00,NRC TRANSPORT CO-,12000.0
865,25472,2022-06-27,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,188,2022-07-18 00:00:00,NRC TRANSPORT CO-,12000.0
866,22688,2022-06-28,19/20FT,VG_KA-YN-Harid-Roorkee,BARWALA,FARRUKHNAGAR,11900.0,189,2022-07-18 00:00:00,NEW AMBALA HARYANA ROADLINES,9800.0
867,25473,2022-06-28,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,188,2022-07-18 00:00:00,NRC TRANSPORT CO-,12000.0
868,25517,2022-06-29,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11277.0,190,2022-07-18 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
869,24221,2022-06-29,19/20FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,8674.0,206,2022-07-22 00:00:00,VISHAL LOGISTICS,7500.0
870,18821,2022-06-25,FTL,Concept Pharma,ROORKEE,KATHMANDU,90000.0,158,2022-06-30 00:00:00,VISHAL LOGISTICS,78000.0
871,25012,2022-06-02,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11282.0,207,2022-07-22 00:00:00,BABA DEVGIRI ROADLINES,9000.0
872,25013,2022-06-10,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11282.0,207,2022-07-22 00:00:00,BABA DEVGIRI ROADLINES,9000.0
873,25014,2022-06-12,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11282.0,207,2022-07-22 00:00:00,BABA DEVGIRI ROADLINES,9000.0
874,25015,2022-06-17,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11282.0,246,2022-08-09 00:00:00,BABA DEVGIRI ROADLINES,9000.0
875,25016,2022-06-21,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11282.0,247,2022-08-09 00:00:00,BABA DEVGIRI ROADLINES,9000.0
876,25017,2022-06-25,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,11282.0,251,2022-08-12 00:00:00,BABA DEVGIRI ROADLINES,9000.0
877,25518,2022-06-29,14 FT,Honeywell Automation (I) Ltd.,KALAAMB,GURGOUN,10792.0,209,2022-07-22 00:00:00,NRC TRANSPORT CO-,8500.0
878,26025,2022-06-27,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0194, 0195",2022-07-19 00:00:00,Sunny Tempo,1100.0
879,26026,2022-06-28,Champion,Ariston_Rithala,Rithala,Tikri kalan,1350.0,"0194, 0195",2022-07-19 00:00:00,Sant Kumar,1100.0
880,24914,2022-06-28,Champion,Infiniti Retail,Tikri kalan,Rithala,675.0,163,2022-07-06 00:00:00,Sant Kumar,550.0
881,26027,2022-06-28,M. Pick up,Ariston_Rithala,Rithala,Noida,3750.0,"0217, 0218",2022-07-28 00:00:00,Sunny Tempo,2500.0
882,26028,2022-06-28,19/20FT,Ariston_Rithala,Rithala,Farrukh Nagar,8500.0,"0194, 0195",2022-07-19 00:00:00,Jai kedar Express,4500.0
883,26029,2022-06-28,14 FT,Ariston_Rithala,Rithala,Dhaula kaun,3300.0,"0194, 0195",2022-07-19 00:00:00,Arun Tempo,2500.0
884,25681,2022-06-29,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,234,2022-08-05 00:00:00,Delhi Jaipur Tpt.,11500.0
885,25682,2022-06-29,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,180,2022-07-13 00:00:00,Safeway logistics,11000.0
886,25683,2022-06-29,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,180,2022-07-13 00:00:00,Safeway logistics,11500.0
887,25684,2022-06-30,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,234,2022-08-05 00:00:00,Delhi Jaipur Tpt.,11500.0
888,25685,2022-06-30,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,180,2022-07-13 00:00:00,Safeway logistics,11000.0
889,25686,2022-06-30,32 FT,V-Guard-Noida_Intech ,Noida,Farrukh Nagar,15180.0,242,2022-08-09 00:00:00,Safeway logistics,11000.0
890,24869,2022-06-27,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,191,2022-07-18 00:00:00,Radhey krishna logistics,6800.0
891,24870,2022-06-28,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,191,2022-07-18 00:00:00,Radhey krishna logistics,6800.0
892,24871,2022-06-29,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,191,2022-07-18 00:00:00,Radhey krishna logistics,6800.0
893,24872,2022-06-30,19/20FT,V-Guard-Kundli_Super LPG,Kundli,Farrukh Nagar,8298.0,191,2022-07-18 00:00:00,Radhey krishna logistics,6800.0
894,22068,2022-06-28,17FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,7590.0,192,2022-07-18 00:00:00,Radhey krishna logistics,6400.0
895,22069,2022-06-29,17FT,VG_Kundli_Anil Eng.,Kundli,Farrukh Nagar,7590.0,192,2022-07-18 00:00:00,Radhey krishna logistics,6400.0
896,25833,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri yadav,2600.0
897,25834,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
898,25843,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
899,25835,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri yadav,2600.0
900,25837,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
901,25838,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
902,25839,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
903,25840,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri yadav,2600.0
904,25841,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
905,25842,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
906,25836,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri yadav,2600.0
907,25844,2022-06-28,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
908,25845,2022-06-28,Tata Ace,Dr. Oetker,Noida,GHAZIABAD,2800.0,167,2022-07-07 00:00:00,Mishri yadav,2600.0
909,25846,2022-06-29,Tata Ace,Dr. Oetker,Noida,DELHI,3000.0,167,2022-07-07 00:00:00,Mishri yadav,2600.0
910,25847,2022-06-29,Tata Ace,Dr. Oetker,Noida,DELHI,0.0,167,2022-07-07 00:00:00,Mishri yadav,0.0
911,25848,2022-06-29,M. Pick up,Honeywell Ele. Dev.& Sys,G.NOIDA,SELAQUI,11000.0,176,2022-07-12 00:00:00,Mishri yadav,9300.0
912,25849,2022-06-29,M. Pick up,Honeywell Ele. Dev.& Sys,G.NOIDA,SELAQUI,0.0,176,2022-07-12 00:00:00,Mishri yadav,0.0
913,25850,2022-06-30,Tata Ace,Dr. Oetker,Noida,GURGAON,4500.0,167,2022-07-07 00:00:00,Mishri yadav,4000.0
914,25301,2022-06-30,19/20FT,Dr. Oetker,Noida,BHIWADI,9500.0,169,2022-07-07 00:00:00,Mishri yadav,8500.0
915,25302,2022-06-30,19/20FT,Dr. Oetker,Noida,BHIWADI,9500.0,169,2022-07-07 00:00:00,Mishri yadav,8500.0
916,25687,2022-07-06,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,175,2022-07-11 00:00:00,Alpha logistics,11500.0
917,25688,2022-07-08,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,175,2022-07-11 00:00:00,Delhi Jaipur Tpt.,11500.0
918,24605,2022-07-04,32 FT,Ariston_Kundli_MB Decco,Kundli,Rithala,13750.0,175,2022-07-11 00:00:00,Delhi Jaipur Tpt.,11500.0
919,25410,2022-07-01,32 FT,Honeywell International,Bilaspur,DELHI,14500.0,236,2022-08-05 00:00:00,Delhi Jaipur Tpt.,11500.0
920,25574,2022-07-01,20 FT 7ton,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,12884.0,221,2022-07-30 00:00:00,Tera Tera (13-13) Transport Co.,10580.0
921,25411,2022-07-01,32 FT,Honeywell International,Bilaspur,DELHI,14500.0,236,2022-08-05 00:00:00,ALPHA LOGISTICS,11000.0
922,25303,2022-07-02,19/20FT,Dr. Oetker,Noida,Bhiwadi,9500.0,227,2022-08-03 00:00:00,Mishri Yadav,8500.0
923,25304,2022-07-02,19/20FT,Dr. Oetker,Noida,Bhiwadi,9500.0,227,2022-08-03 00:00:00,Mishri Yadav,8500.0
924,25414,2022-07-04,M. Pick up,Honeywell Automation (I) Ltd.,Bilaspur,GURGAON,2507.0,184,2022-07-15 00:00:00,MISHRI YADAV,2400.0
925,25305,2022-07-04,19/20FT,Dr. Oetker,Noida,Bhiwadi,9500.0,227,2022-08-03 00:00:00,Mishri Yadav,8500.0
926,25306,2022-07-05,TATA ACE,Dr. Oetker,Noida,DELHI,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,2600.0
927,25307,2022-07-05,14 FT,Dr. Oetker,Noida,Bhiwadi,7800.0,227,2022-08-03 00:00:00,Mishri Yadav,7000.0
928,25575,2022-07-05,M. Pick up,QUICK SILVER,JHAJJAR,I.C.D,5500.0,185,2022-07-15 00:00:00,MISHRI YADAV,4500.0
929,25308,2022-07-07,14 FT,Dr. Oetker,Noida,JAIPUR,19000.0,228,2022-08-03 00:00:00,Mishri Yadav,13000.0
930,25309,2022-07-07,14 FT,Dr. Oetker,Noida,LUCKNOW,15500.0,228,2022-08-03 00:00:00,Mishri Yadav,17500.0
931,25310,2022-07-07,M. Pick up,Dr. Oetker,Noida,FARIDABAD,4800.0,228,2022-08-03 00:00:00,Mishri Yadav,4500.0
932,25311,2022-07-07,M. Pick up,Dr. Oetker,Noida,Dehradun,10500.0,228,2022-08-03 00:00:00,Mishri Yadav,9200.0
933,25312,2022-07-08,TATA ACE,Dr. Oetker,Noida,DELHI,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,2600.0
934,25313,2022-07-08,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
935,25314,2022-07-08,TATA ACE,Dr. Oetker,Noida,DELHI,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,2600.0
936,25315,2022-07-08,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
937,25316,2022-07-08,14 FT,Dr. Oetker,Noida,GHAZIABAD,5000.0,228,2022-08-03 00:00:00,Mishri Yadav,5000.0
938,25576,2022-07-08,22 FT 12TON,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,20497.0,201,2022-07-21 00:00:00,Tera Tera (13-13) Transport Co.,15120.0
939,25317,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,2600.0
940,25318,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
941,25319,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
942,25321,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,2600.0
943,25322,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
944,25323,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
945,25324,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,2600.0
946,25325,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
947,25326,2022-07-09,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
948,25327,2022-07-09,E.V,Dr. Oetker,Noida,NOIDA,0.0,228,2022-08-03 00:00:00,Trumiles,0.0
949,25328,2022-07-09,E.V,Dr. Oetker,Noida,NOIDA,0.0,228,2022-08-03 00:00:00,Trumiles,0.0
950,25329,2022-07-11,TATA ACE,Dr. Oetker,Noida,GHAZIABAD,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,2600.0
951,25330,2022-07-11,TATA ACE,Dr. Oetker,Noida,GHAZIABAD,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
952,25331,2022-07-11,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
953,25332,2022-07-11,TATA ACE,Dr. Oetker,Noida,DELHI,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,2600.0
954,25333,2022-07-11,TATA ACE,Dr. Oetker,Noida,DELHI,0.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
955,25577,2022-07-12,22 FT 10TON,Honeywell Automation (I) Ltd.,Jalandhar,Bilaspur,14089.0,210,2022-07-23 00:00:00,Tera Tera (13-13) Transport Co.,9800.0
956,25334,2022-07-12,TATA ACE,Dr. Oetker,NOIDA,DELHI,0.0,228,2022-08-03 00:00:00,MISHRI YADAV,2600.0
957,25335,2022-07-12,TATA ACE,Dr. Oetker,NOIDA,DELHI,3000.0,228,2022-08-03 00:00:00,Mishri Yadav,0.0
958,25336,2022-07-12,TATA ACE,Dr. Oetker,NOIDA,DELHI,0.0,228,2022-08-03 00:00:00,MISHRI YADAV,0.0
959,25337,2022-07-12,M. Pick up,Dr. Oetker,NOIDA,GHAZIABAD,2800.0,228,2022-08-03 00:00:00,MISHRI YADAV,2600.0
960,25604,2022-07-12,M. Pick up,Modere India,SONIPAL,CHANDIGARH,11500.0,186,2022-07-16 00:00:00,MISHRI YADAV,9300.0
961,25338,2022-07-13,TATA ACE,Dr. Oetker,NOIDA,DELHI,3000.0,228,2022-08-03 00:00:00,MISHRI YADAV,2600.0
962,25578,2022-07-14,M. Pick up,QUICK SILVER,DELHI,ICD Tuklabad,3500.0,184,2022-07-15 00:00:00,MISHRI YADAV,2800.0
963,24226A,2022-07-16,M. Pick up,Modere India,Chandigrh,Sonipat,8000.0,186,2022-07-16 00:00:00,Samrathal Logistics,5500.0
964,24222,2022-07-01,19/20FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,8674.0,263,2022-08-13 00:00:00,VISHAL LOGISTICS,7500.0
965,25474,2022-07-02,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,203,2022-07-22 00:00:00,VINAYAK ROADLINES,12000.0
966,25475,2022-07-02,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,277,2022-08-25 00:00:00,VINAYAK ROADLINES,12000.0
967,25476,2022-07-02,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,203,2022-07-22 00:00:00,NEW HARYANA GOLDEN,12000.0
968,25477,2022-07-04,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,203,2022-07-22 00:00:00,NEW HARYANA GOLDEN,12000.0
969,25478,2022-07-04,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,245,2022-08-09 00:00:00,NRC TRANSPORT CO-,12000.0
970,25479,2022-07-05,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,245,2022-08-09 00:00:00,NRC TRANSPORT CO-,12000.0
971,22689,2022-07-05,32 FT,VG_KA-YN-Harid-Roorkee,BARWALA,FARRUKHNAGAR,15600.0,261,2022-08-13 00:00:00,NEW AMBALA HARYANA ROADLINES,13000.0
972,22690,2022-07-05,32 FT,VG_KA-YN-Harid-Roorkee,BARWALA,FARRUKHNAGAR,15600.0,261,2022-08-13 00:00:00,NEW AMBALA HARYANA ROADLINES,13000.0
973,24223,2022-07-05,19/20FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,8674.0,262,2022-08-13 00:00:00,BABA BANKA ROADLINES,7500.0
974,25519,2022-07-06,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,287,2022-08-29 00:00:00,VINAYAK ROADLINES,12000.0
975,25520,2022-07-07,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,Farrukh Nagar,11277.0,241,2022-08-08 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
976,24224,2022-07-07,19/20FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,8674.0,262,2022-08-13 00:00:00,BABA BANKA ROADLINES,7500.0
977,25521,2022-07-07,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,Farrukh Nagar,11277.0,241,2022-08-08 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
978,25522,2022-07-08,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,Farrukh Nagar,11277.0,241,2022-08-08 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
979,24225,2022-07-08,19/20FT,VG_KA-YN-Harid-Roorkee,HARIDAWAR,FARRUKHNAGAR,8674.0,262,2022-08-13 00:00:00,NEW OLAGO LOGISTICS,7500.0
980,25481,2022-07-09,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,260,2022-08-13 00:00:00,AMBAY ROADLINES,12000.0
981,25523,2022-07-09,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,11277.0,269,2022-08-23 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
982,22691,2022-07-11,32 FT,VG_KA-YN-Harid-Roorkee,BARWALA,FARRUKHNAGAR,15600.0,285,2022-08-29 00:00:00,NEW HARYANA GOLDEN,13000.0
983,25480,2022-07-11,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,203,2022-07-22 00:00:00,VINAYAK ROADLINES,12000.0
984,23005,2022-07-12,32 FT MXL,VG_KA-YN-Harid-Roorkee,ROORKEE,FARRUKHNAGAR,17673.0,263,2022-08-13 00:00:00,NEW OLAGO LOGISTICS,16000.0
985,25482,2022-07-12,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,277,2022-08-25 00:00:00,VINAYAK ROADLINES,12000.0
986,25483,2022-07-14,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,277,2022-08-25 00:00:00,NEW HARYANA GOLDEN,12000.0
987,25524,2022-07-15,19/20FT,VG_KA-YN-Harid-Roorkee,KALAAMB,Farrukh Nagar,11277.0,241,2022-08-08 00:00:00,NEW AMBALA HARYANA ROADLINES,9400.0
988,25484,2022-07-15,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,279,2022-08-26 00:00:00,VINAYAK ROADLINES,12000.0
989,25485,2022-07-16,32 FT,VG_KA-YN-Harid-Roorkee,KALAAMB,FARRUKHNAGAR,13662.0,260,2022-08-13 00:00:00,NEW HARYANA GOLDEN,12000.0
990,25018,2022-07-09,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,10880.0,208,2022-07-22 00:00:00,BABA DEVGIRI ROADLINES,9000.0
991,25019,2022-07-13,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,10880.0,278,2022-08-25 00:00:00,JAI AMBEY LOGISTICS SERVICE,9000.0
992,25020,2022-07-15,19/20FT,Honeywell Ele. Dev.& Sys,Selaqui,BILASPUR,10880.0,278,2022-08-25 00:00:00,JAI AMBEY LOGISTICS SERVICE,9000.0
993,26030,2022-07-02,14 FT,Ariston_Rithala,Rithala,Mandoli,3300.0,"0196, 0197",2022-07-20 00:00:00,Mainpal Tempo,2500.0
994,26031,2022-07-02,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sant kumar,1100.0
995,26032,2022-07-02,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
996,26033,2022-07-02,Tata Ace,Ariston_Rithala,Rithala,Chhatarpur,1475.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
997,26034,2022-07-02,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
998,26035,2022-07-02,Tata Ace,Ariston_Rithala,Rithala,Shakarpur,1475.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
999,26036,2022-07-02,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1000,26037,2022-07-02,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1001,26038,2022-07-02,Tata Ace,Ariston_Rithala,Rithala,Chhatarpur,1475.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1002,26039,2022-07-04,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sant kumar,1100.0
1003,26040,2022-07-04,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1004,26041,2022-07-04,14 FT,Ariston_Rithala,Rithala,Okhla,3300.0,"0196, 0197",2022-07-20 00:00:00,Mainpal Tempo,2500.0
1005,26042,2022-07-04,M. Pick up,Ariston_Rithala,Rithala,Noida,3750.0,"0219, 0220",2022-07-30 00:00:00,Jai Shree Durga,2500.0
1006,26043,2022-07-04,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0196, 0197",2022-07-20 00:00:00,Arun Tempo,3300.0
1007,26044,2022-07-04,14 FT,Ariston_Rithala,Rithala,Bhatinda,15225.0,"0219, 0220",2022-07-30 00:00:00,Jai kedar Express,12800.0
1008,26045,2022-07-04,19/20FT,Ariston_Rithala,Rithala,Lucknow,25000.0,"0219, 0220",2022-07-30 00:00:00,Jai kedar Express,21000.0
1009,26046,2022-07-04,14 FT,Ariston_Rithala,Rithala,Haldwani,16000.0,"0224, 0225",2022-08-03 00:00:00,Arun Tempo,12500.0
1010,26047,2022-07-04,14 FT,Ariston_Rithala,Rithala,Haldwani,0.0,"0224, 0225",2022-08-03 00:00:00,Arun Tempo,1000.0
1011,26048,2022-07-04,14 FT,Ariston_Rithala,Rithala,Haldwani,0.0,"0224, 0225",2022-08-03 00:00:00,Arun Tempo,0.0
1012,26049,2022-07-04,19/20FT,Ariston_Rithala,Rithala,Agra,16500.0,"0258, 0259",2022-08-13 00:00:00,Jai Maa Kali TPT,10500.0
1013,26050,2022-07-04,Tata Ace,Ariston_Rithala,Rithala,Chhatarpur,1475.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1014,26051,2022-07-04,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1015,26052,2022-07-05,Champion,Ariston_Rithala,Rithala,Tikri kalan,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1016,26053,2022-07-05,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sant kumar,1100.0
1017,26054,2022-07-05,Tata Ace,Ariston_Rithala,Rithala,Shakarpur,1475.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1018,26055,2022-07-05,14 FT,Ariston_Rithala,Rithala,Gurgaon,4600.0,"0258, 0259",2022-08-13 00:00:00,Jai Maa Kali TPT,3500.0
1019,26056,2022-07-05,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0196, 0197",2022-07-20 00:00:00,Sant kumar,1100.0
1020,26057,2022-07-05,19/20FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0196, 0197",2022-07-20 00:00:00,Arun Tempo,9500.0
1021,26058,2022-07-05,19/20FT,Ariston_Rithala,Rithala,Jaipur,12900.0,"0219, 0220",2022-07-30 00:00:00,Jai kedar Express,11500.0
1022,26059,2022-07-05,19/20FT,Ariston_Rithala,Rithala,Jaipur,0.0,"0219, 0220",2022-07-30 00:00:00,Jai kedar Express,0.0
1023,26060,2022-07-05,14 FT,Ariston_Rithala,Rithala,Varanasi,24000.0,"0219, 0220",2022-07-30 00:00:00,Jai kedar Express,23000.0
1024,26061,2022-07-05,14 FT,Ariston_Rithala,Rithala,Lucknow,1200.0,"0219, 0220",2022-07-30 00:00:00,Jai kedar Express,1000.0
1025,26062,2022-07-05,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1026,26063,2022-07-05,Champion,Ariston_Rithala,Rithala,Chhatarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1027,26064,2022-07-05,19/20FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0219, 0220",2022-07-30 00:00:00,Jai Shree Durga,9000.0
1028,26065,2022-07-05,19/20FT,Ariston_Rithala,Rithala,Ambala,11150.0,"0219, 0220",2022-07-30 00:00:00,Jai kedar Express,9000.0
1029,26066,2022-07-06,Champion,Ariston_Rithala,Rithala,Mandoli,1350.0,"0196, 0197",2022-07-20 00:00:00,Sant kumar,1100.0
1030,26067,2022-07-06,Champion,Ariston_Rithala,Rithala,Shakarpur,1350.0,"0196, 0197",2022-07-20 00:00:00,Sunny Tempo,1100.0
1031,26068,2022-07-06,Tata Ace,Ariston_Rithala,Rithala,Gurgaon,3100.0,"0219, 0220",2022-07-30 00:00:00,Sunny Tempo,2200.0
1032,24915,2022-07-06,Tata Ace,Ariston_Rithala,Gurgaon,Rithala,1550.0,265,2022-08-13 00:00:00,Sunny Tempo,1100.0
1033,26069,2022-07-06,Tata 407,Ariston_Rithala,Rithala,Noida,4250.0,"0219, 0220",2022-07-30 00:00:00,Jai Shree Durga,3000.0
