S. No.,LR No.,LR Date  ,Vehicle Size,Bill To,From Location,To Location,Revenue,TML Invoice No-,TML Invoice Date,Transporter Name,Transport Charges
530,25393,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,2800.0,167,2022-07-07 00:00:00,MISHRI YADAV,2500.0
531,25394,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,RAKESH,2500.0
532,25395,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,RAKESH,0.0
533,25397,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,2800.0,167,2022-07-07 00:00:00,RAKESH,0.0
534,25389,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,MISHRI YADAV,2500.0
535,25390,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,0.0,167,2022-07-07 00:00:00,MISHRI YADAV,0.0
536,25391,2022-06-01,CHAMPION,Dr. Oetker,NOIDA,DELHI,2800.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
537,25752,2022-06-01,M. Pick up,Honeywell Ele. Dev.& Sys,G.NOIDA,SELAQUI,14000.0,121,2022-06-10 00:00:00,MISHRI YADAV,11500.0
538,25398,2022-06-01,19/20FT,Dr. Oetker,NOIDA,BHIWADI,9500.0,169,2022-07-07 00:00:00,MISHRI YADAV,8500.0
539,25399,2022-06-01,19/20FT,Dr. Oetker,NOIDA,BHIWADI,9500.0,169,2022-07-07 00:00:00,MISHRI YADAV,8500.0
540,25400,2022-06-01,19/20FT,Dr. Oetker,NOIDA,BHIWADI,9500.0,169,2022-07-07 00:00:00,MISHRI YADAV,8500.0
541,25751,2022-06-01,19/20FT,Dr. Oetker,NOIDA,BHIWADI,9500.0,169,2022-07-07 00:00:00,MISHRI YADAV,8500.0
542,25754,2022-06-02,CHAMPION,Dr. Oetker,NOIDA,FARIDABAD,3000.0,168,2022-07-07 00:00:00,MISHRI YADAV,4500.0
543,25396,2022-06-02,CHAMPION,Dr. Oetker,NOIDA,G. NOIDA,2800.0,167,2022-07-07 00:00:00,Mishri Yadav,0.0
544,25753,2022-06-02,CHAMPION,Dr. Oetker,NOIDA,DELHI,2800.0,168,2022-07-07 00:00:00,MISHRI YADAV,2500.0
545,25755,2022-06-03,TATA ACE,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,MISHRI YADAV,2500.0
546,25756,2022-06-04,CHAMPION,Dr. Oetker,NOIDA,DELHI,2800.0,167,2022-07-07 00:00:00,MISHRI YADAV,2500.0
547,25757,2022-06-07,TATA ACE,Dr. Oetker,NOIDA,DELHI,3000.0,167,2022-07-07 00:00:00,MISHRI YADAV,2500.0
548,25658,2022-06-08,32 FT,Ariston_G-Noida_Intech Digital,Noida,Rithala,14500.0,119,2022-06-10 00:00:00,Safeway logistics,11500.0
549,25563,2022-06-08,22 FT16TON,Honeywell Automation (I) Ltd.,Jalandhar,Gurgaon,27796.0,125,2022-06-14 00:00:00,Tera Tera (13-13) Transport Co.,20000.0
550,25406,2022-06-10,14 FT,Honeywell International,BILASPUR,DELHI,8600.0,177,2022-07-12 00:00:00,MISHRI YADAV,6000.0
551,25758,2022-06-11,17FT,Dr. Oetker,NOIDA,JAIPUR,17000.0,168,2022-07-07 00:00:00,MISHRI YADAV,14000.0
552,25759,2022-06-11,14 FT,Dr. Oetker,NOIDA,LUCKNOW,19000.0,168,2022-07-07 00:00:00,MISHRI YADAV,17500.0
553,25760,2022-06-11,M. Pick up,Dr. Oetker,NOIDA,ZIRAKPUR,12000.0,168,2022-07-07 00:00:00,MISHRI YADAV,9000.0
